seller_state,customer_state,delivered_orders,late_deliveries,late_delivery_rate,reviewed_orders,low_review_rate,median_delivery_days,route,all_orders,non_receipt_reports,delivery_record_discrepancies,expected_late_orders,excess_late_orders,late_delivery_rate_pct,low_review_rate_pct,non_receipt_report_rate_pct
SP,RJ,8048,1147,0.14251988071570576,7959,0.19751225028269884,13.0,SP → RJ,8317,134,29,551.2212954597978,595.7787045402022,14.251988071570576,19.751225028269882,1.6111578694240711
SP,BA,2278,297,0.13037752414398596,2263,0.17764030048608043,18.0,SP → BA,2352,33,8,156.02411916717438,140.97588083282562,13.037752414398597,17.764030048608042,1.403061224489796
SP,ES,1444,180,0.12465373961218837,1430,0.14335664335664336,14.0,SP → ES,1469,21,7,98.90203164064961,81.09796835935039,12.465373961218837,14.335664335664337,1.4295439074200136
SP,CE,961,133,0.1383975026014568,956,0.16631799163179917,18.0,SP → CE,1000,21,5,65.82053490766225,67.17946509233775,13.839750260145681,16.631799163179917,2.1
SP,SC,2306,222,0.09627059843885516,2286,0.14610673665791776,14.0,SP → SC,2340,29,9,157.94188709372438,64.05811290627562,9.627059843885515,14.610673665791776,1.2393162393162394
SP,MA,486,93,0.19135802469135801,482,0.21991701244813278,20.0,SP → MA,502,5,1,33.28697186797487,59.71302813202513,19.1358024691358,21.991701244813278,0.9960159362549801
PR,RJ,951,117,0.12302839116719243,938,0.19509594882729211,14.0,PR → RJ,980,12,5,65.13561779103725,51.86438220896275,12.302839116719243,19.50959488272921,1.2244897959183674
SP,AL,254,61,0.24015748031496062,252,0.24206349206349206,23.0,SP → AL,264,4,1,17.396894762274933,43.60310523772507,24.015748031496063,24.206349206349206,1.5151515151515151
SP,PA,675,81,0.12,666,0.17567567567567569,21.0,SP → PA,693,11,2,46.23190537218732,34.76809462781268,12.0,17.56756756756757,1.5873015873015872
SP,PE,1126,111,0.09857904085257549,1114,0.15170556552962297,16.0,SP → PE,1164,17,5,77.12166733197469,33.87833266802531,9.857904085257548,15.170556552962298,1.4604810996563573
SP,PI,327,54,0.1651376146788991,323,0.16718266253869968,17.0,SP → PI,341,5,1,22.396789713637414,31.603210286362586,16.51376146788991,16.718266253869967,1.466275659824047
SP,MS,471,59,0.12526539278131635,471,0.15074309978768577,14.0,SP → MS,477,6,0,32.259596193037375,26.740403806962625,12.526539278131635,15.074309978768577,1.257861635220126
SP,SE,205,34,0.16585365853658537,205,0.1902439024390244,18.0,SP → SE,209,8,1,14.040800890812445,19.959199109187555,16.585365853658537,19.024390243902438,3.827751196172249
MG,RJ,1124,94,0.08362989323843416,1116,0.12544802867383512,11.0,MG → RJ,1175,13,4,76.9846839086497,17.0153160913503,8.362989323843415,12.544802867383511,1.1063829787234043
MA,SP,123,25,0.2032520325203252,122,0.18032786885245902,14.0,MA → SP,124,3,0,8.424480534487467,16.575519465512535,20.32520325203252,18.0327868852459,2.4193548387096775
RJ,SP,1299,103,0.07929176289453425,1292,0.12848297213622292,10.0,RJ → SP,1341,15,7,88.97073344958716,14.029266550412842,7.929176289453426,12.848297213622292,1.1185682326621924
SP,PB,333,35,0.10510510510510511,329,0.14893617021276595,19.0,SP → PB,345,6,1,22.80773998361241,12.19226001638759,10.51051051051051,14.893617021276595,1.7391304347826086
MG,BA,362,36,0.09944751381215469,360,0.12777777777777777,15.0,MG → BA,373,3,2,24.793999621824902,11.206000378175098,9.94475138121547,12.777777777777777,0.8042895442359249
PR,BA,143,21,0.14685314685314685,141,0.19148936170212766,18.0,PR → BA,147,2,2,9.794314767737461,11.205685232262539,14.685314685314685,19.148936170212767,1.3605442176870748
SC,RJ,465,43,0.09247311827956989,460,0.17608695652173914,13.0,SC → RJ,474,6,2,31.848645923062374,11.151354076937626,9.247311827956988,17.608695652173914,1.2658227848101267
