subtopic_label_en,unique_orders,share_pct
Non-receipt reported at review time,848,18.23263814233498
"Wrong, incompatible or mismatched product",522,11.223392818748657
Late or slow delivery,506,10.879380778327242
"Cancellation, refund or payment issue",471,10.126854439905397
Incomplete order or missing item,451,9.696839389378628
Seller/store service or communication,450,9.67533863685229
"Product quality, defect or damage",362,7.783272414534509
Product receipt or mixed delivery feedback,360,7.740270909481832
Wrong product colour,184,3.9561384648462696
Postal delivery or collection issue,133,2.8596000860030104
Delivery timing with mixed sentiment,92,1.9780692324231348
Not yet evaluated or uncertain receipt,72,1.5480541818963662
Delivered on or before expected date,61,1.3115459041066437
Tax invoice or documentation issue,43,0.9245323586325521
Positive product quality and recommendation,21,0.4515158030531069
Product received correctly or mixed feedback,19,0.40851429800043
Fast delivery with positive feedback,17,0.3655127929477532
Product not yet tested,11,0.23650827778972264
Everything correct or recommended,6,0.12900451515803052
Liked or loved the product,5,0.10750376263169212
Generic or low-information feedback,5,0.10750376263169212
Product met expectations,4,0.08600301010535369
Positive or mixed product feedback,4,0.08600301010535369
Good value for money,2,0.043001505052676844
Positive product appearance,2,0.043001505052676844
